activity_id,user_id,company_id,date,logins,time_spent_mins,pages_visited,support_tickets
1,1,1,2021-07-17,2,53.17,8,0
2,1,1,2021-07-24,1,15.91,4,0
3,1,1,2021-07-28,6,152.78,22,0
4,1,1,2021-08-02,4,106.09,16,0
5,1,1,2021-08-05,3,73.31,10,0
6,1,1,2021-08-09,5,134.76,16,0
7,1,1,2021-08-14,5,121.38,18,0
8,1,1,2021-08-18,1,20.8,3,0
9,1,1,2021-08-22,5,129.42,14,0
10,1,1,2021-08-29,5,124.95,13,0
11,1,1,2021-09-04,4,97.06,10,0
12,1,1,2021-09-10,5,131.94,17,1
13,1,1,2021-09-15,3,73.01,11,0
14,1,1,2021-09-22,2,50.09,8,0
15,1,1,2021-09-29,1,34.5,3,0
16,1,1,2021-10-04,3,68.98,11,0
17,1,1,2021-10-07,4,96.66,14,0
18,1,1,2021-10-14,3,83.63,9,0
19,1,1,2021-10-21,6,150.15,22,0
20,1,1,2021-10-28,4,97.37,16,2
21,1,1,2021-11-04,3,74.49,14,0
22,1,1,2021-11-11,4,91.03,14,0
23,1,1,2021-11-18,4,94.84,15,0
24,1,1,2021-11-22,5,123.38,17,0
25,1,1,2021-11-29,6,154.55,25,0
26,1,1,2021-12-06,6,147.54,29,0
27,1,1,2021-12-13,6,153.52,28,0
28,1,1,2021-12-18,4,109.15,12,0
29,1,1,2021-12-23,4,104.1,13,0
30,1,1,2021-12-28,3,78.53,10,2
31,1,1,2022-01-02,3,70.75,12,0
32,1,1,2022-01-08,4,94.04,15,1
33,1,1,2022-01-13,3,79.82,9,0
34,1,1,2022-01-20,2,42.0,6,0
35,1,1,2022-01-24,5,123.14,24,1
36,1,1,2022-01-30,4,95.71,10,0
37,1,1,2022-02-06,7,179.46,33,1
38,1,1,2022-02-10,2,59.94,6,0
39,1,1,2022-02-15,2,51.36,5,2
40,1,1,2022-02-20,7,174.88,33,1
41,1,1,2022-02-26,2,46.61,8,0
42,1,1,2022-03-02,4,101.36,17,0
43,1,1,2022-03-08,6,141.73,25,0
44,1,1,2022-03-12,3,65.14,10,0
45,1,1,2022-03-17,5,129.46,12,0
46,1,1,2022-03-21,2,46.14,7,0
47,1,1,2022-03-26,4,102.29,12,0
48,1,1,2022-03-30,6,148.32,23,0
49,1,1,2022-04-06,4,105.09,18,0
50,1,1,2022-04-12,3,83.34,8,0
51,1,1,2022-04-19,7,168.0,23,0
52,1,1,2022-04-22,6,141.82,22,0
53,1,1,2022-04-28,6,149.14,15,0
54,1,1,2022-05-03,5,131.33,21,0
55,1,1,2022-05-06,5,116.28,24,1
56,1,1,2022-05-09,2,48.18,8,0
57,1,1,2022-05-15,5,132.39,23,0
58,1,1,2022-05-22,3,68.57,11,0
59,1,1,2022-05-26,2,49.26,8,0
60,1,1,2022-06-01,3,71.92,9,1
61,1,1,2022-06-04,6,155.32,28,0
62,1,1,2022-06-08,3,65.67,11,0
63,1,1,2022-06-11,2,48.78,7,0
64,1,1,2022-06-14,6,144.68,28,0
65,1,1,2022-06-21,3,71.04,8,0
66,1,1,2022-06-25,4,91.22,19,1
67,1,1,2022-06-29,6,140.94,20,0
68,1,1,2022-07-05,5,123.33,14,0
69,1,1,2022-07-12,2,46.01,8,0
70,1,1,2022-07-15,5,126.15,14,0
71,1,1,2022-07-19,2,56.94,5,0
72,1,1,2022-07-23,4,103.47,16,1
73,1,1,2022-07-27,5,124.59,23,0
74,1,1,2022-07-30,4,92.35,19,0
75,1,1,2022-08-03,3,83.3,11,0
76,1,1,2022-08-09,7,172.19,22,0
77,1,1,2022-08-15,3,74.39,13,1
78,1,1,2022-08-20,4,101.25,12,0
79,1,1,2022-08-25,7,179.4,22,0
80,1,1,2022-08-29,5,124.99,20,0
81,1,1,2022-09-03,5,118.36,22,0
82,1,1,2022-09-10,4,109.81,19,0
83,1,1,2022-09-13,2,42.75,8,0
84,1,1,2022-09-17,4,99.12,10,0
85,1,1,2022-09-24,4,90.13,15,0
86,1,1,2022-10-01,6,140.34,27,0
87,1,1,2022-10-05,3,67.98,8,0
88,1,1,2022-10-10,4,97.46,14,0
89,1,1,2022-10-14,3,84.83,12,0
90,1,1,2022-10-20,6,149.52,24,0
91,1,1,2022-10-23,6,155.69,23,1
92,1,1,2022-10-26,1,19.23,4,1
93,1,1,2022-11-01,1,28.69,3,0
